Column 1,Compte_Twitter,geoloc,lat,long,ville,nbre_oeuvre
Clohars-Carnoët,NON,"47.795833333333,-3.5858333333333",47.795833333333,-3.5858333333333,Le Pouldu,2
Le Pouliguen,NON,"47.276944444444,-2.4302777777778",47.276944444444,-2.4302777777778,Le Pouliguen,2
Loctudy,OUI,"47.833611111111,-4.1691666666667",47.833611111111,-4.1691666666667,Loctudy,2
Lyon,OUI,"45.758888888889,4.8413888888889",45.758888888889,4.8413888888889,Lyon,2
Menton,OUI,"43.774722222222,7.4997222222222",43.774722222222,7.4997222222222,Menton,2
Mobecq,NON,"49.2725,-1.5177777777778",49.2725,-1.5177777777778,Mobecq,2
Morestel,NON,"45.677777777778,5.47",45.677777777778,5.47,Morestel,2
Neuilly-sur-Seine,OUI,"48.887222222222,2.2675",48.887222222222,2.2675,Neuilly-sur-Seine,2
Ève,NON,"49.089444444444,2.7041666666667",49.089444444444,2.7041666666667,Oise (60),2
Perros-Guirec,OUI,"48.813333333333,-3.4433333333333",48.813333333333,-3.4433333333333,Perros-Guirec,2
Poissy,OUI,"48.928888888889,2.0447222222222",48.928888888889,2.0447222222222,Poissy,2
Saint-Cloud,OUI,"48.846388888889,2.2152777777778",48.846388888889,2.2152777777778,Saint-Cloud,2
Saint-Jacut-de-la-Mer,NON,"48.597222222222,-2.1902777777778",48.597222222222,-2.1902777777778,Saint-Jacut-de-la-Mer,2
Sannois,NON,"48.971666666667,2.2569444444444",48.971666666667,2.2569444444444,Sannois,2
Villerville,OUI,"49.400833333333,0.12861111111111",49.400833333333,0.12861111111111,Villerville,2
Aigues-Mortes,NON,"43.566666666667,4.1925",43.566666666667,4.1925,Aigues-Mortes,1
Ajaccio,OUI,"41.925555555556,8.7363888888889",41.925555555556,8.7363888888889,Ajaccio,1
Amboise,NON,"47.411388888889,0.9825",47.411388888889,0.9825,Amboise,1
Angers,OUI,"47.472777777778,-0.55555555555556",47.472777777778,-0.55555555555556,Angers,1
Angoustrine-Villeneuve-des-Escaldes,NON,"42.477777777778,1.9527777777778",42.477777777778,1.9527777777778,Angoustrine-Villeneuve-des-Escaldes,1
Apremont,NON,"46.206944444444,5.6566666666667",46.206944444444,5.6566666666667,Apremont,1
Arcachon,NON,"44.658611111111,-1.1688888888889",44.658611111111,-1.1688888888889,Arcachon,1
Argenton-sur-Creuse,NON,"46.588888888889,1.5191666666667",46.588888888889,1.5191666666667,Argenton-sur-Creuse,1
Arleux,NON,"50.280277777778,3.1063888888889",50.280277777778,3.1063888888889,Arleux,1
Asnières-sur-Oise,NON,"49.133333333333,2.3561111111111",49.133333333333,2.3561111111111,Asnières-sur-Oise,1
Auray,NON,"47.667777777778,-2.9825",47.667777777778,-2.9825,Auray,1
Aurillac,NON,"44.925277777778,2.4397222222222",44.925277777778,2.4397222222222,Aurillac,1
Authie,NON,"50.119722222222,2.4886111111111",50.119722222222,2.4886111111111,Authie,1
Barbizon,NON,"48.445833333333,2.605",48.445833333333,2.605,Barbizon,1
Bayeux,NON,"49.278611111111,-0.70388888888889",49.278611111111,-0.70388888888889,Bayeux,1
Bazincourt-sur-Epte,NON,"49.311666666667,1.7672222222222",49.311666666667,1.7672222222222,Bazincourt-sur-Epte,1
Beaulieu-sur-Mer,NON,"43.706944444444,7.3313888888889",43.706944444444,7.3313888888889,Beaulieu-sur-Mer,1
Bellerive-sur-Allier,NON,"46.116388888889,3.4041666666667",46.116388888889,3.4041666666667,Bellerive-sur-Allier,1
